date,BID_open,BID_high,BID_low,BID_close,BID_volume_millions
2024-04-06 21:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 22:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 23:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 00:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 01:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 02:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 03:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 04:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 05:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 06:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 07:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 08:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 09:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 10:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 11:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 12:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 13:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 14:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 15:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 16:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 17:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 18:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 19:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 20:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-07 21:00:00,1.08347,1.08379,1.08347,1.08371,1920.9100341796875
2024-04-07 22:00:00,1.08371,1.08378,1.08272,1.0828,2370.93994140625
2024-04-07 23:00:00,1.08279,1.0833,1.08277,1.08297,2320.820068359375
2024-04-08 00:00:00,1.08297,1.08299,1.0823,1.08269,8328.6396484375
2024-04-08 01:00:00,1.08269,1.08363,1.08268,1.08353,8513.9501953125
2024-04-08 02:00:00,1.08354,1.08432,1.08348,1.08406,7847.58984375
2024-04-08 03:00:00,1.08406,1.08415,1.08321,1.08333,6011.1298828125
2024-04-08 04:00:00,1.08334,1.08354,1.08311,1.08321,3494.22998046875
2024-04-08 05:00:00,1.08321,1.08373,1.08321,1.08345,4555.43994140625
2024-04-08 06:00:00,1.08345,1.08375,1.08297,1.08339,7071.68017578125
2024-04-08 07:00:00,1.08339,1.08377,1.08284,1.08322,10698.330078125
2024-04-08 08:00:00,1.08321,1.08351,1.08221,1.08234,11820.98046875
2024-04-08 09:00:00,1.08233,1.08299,1.08208,1.0828,8888.330078125
2024-04-08 10:00:00,1.08278,1.0834,1.08258,1.08323,5963.7099609375
2024-04-08 11:00:00,1.08324,1.08332,1.08232,1.08237,6657.43017578125
2024-04-08 12:00:00,1.08237,1.08355,1.08215,1.08341,10585.2197265625
2024-04-08 13:00:00,1.08342,1.08533,1.08342,1.08516,13131.0400390625
2024-04-08 14:00:00,1.08516,1.08562,1.08435,1.08532,17263.099609375
2024-04-08 15:00:00,1.08533,1.08589,1.08494,1.08526,11592.8095703125
2024-04-08 16:00:00,1.08526,1.08528,1.08467,1.08501,5274.8701171875
2024-04-08 17:00:00,1.08503,1.08593,1.08494,1.08579,3603.14990234375
2024-04-08 18:00:00,1.0858,1.08621,1.08556,1.08572,3412.389892578125
2024-04-08 19:00:00,1.08571,1.08588,1.08559,1.08567,4669.22998046875
2024-04-08 20:00:00,1.08567,1.08599,1.08563,1.08587,2746.43994140625
2024-04-08 21:00:00,1.08587,1.08619,1.08528,1.08589,9133.669921875
2024-04-08 22:00:00,1.08589,1.0861,1.08589,1.08604,931.8499755859375
2024-04-08 23:00:00,1.08604,1.08634,1.08604,1.0862,1441.3199462890625
2024-04-09 00:00:00,1.0862,1.08635,1.08575,1.08586,4861.1201171875
2024-04-09 01:00:00,1.08587,1.0862,1.08569,1.08596,7010.22021484375
2024-04-09 02:00:00,1.08596,1.08622,1.08557,1.08569,3708.280029296875
2024-04-09 03:00:00,1.08569,1.08574,1.0854,1.08553,2885.330078125
2024-04-09 04:00:00,1.08554,1.08584,1.08553,1.08565,2623.050048828125
2024-04-09 05:00:00,1.08564,1.08586,1.08559,1.08577,3166.72998046875
2024-04-09 06:00:00,1.08578,1.08626,1.08512,1.08521,7413.4599609375
2024-04-09 07:00:00,1.08521,1.08601,1.08514,1.08531,12511.650390625
2024-04-09 08:00:00,1.08534,1.08587,1.0849,1.08575,8009.580078125
2024-04-09 09:00:00,1.08575,1.08658,1.08564,1.08649,8098.39990234375
2024-04-09 10:00:00,1.08651,1.08707,1.0865,1.08689,5445.93994140625
2024-04-09 11:00:00,1.0869,1.08728,1.08592,1.08613,8782.51953125
2024-04-09 12:00:00,1.08614,1.08839,1.08603,1.08806,11982.3798828125
2024-04-09 13:00:00,1.08807,1.0885,1.0876,1.08787,16121.8603515625
2024-04-09 14:00:00,1.08787,1.08821,1.0853,1.08572,16984.69921875
2024-04-09 15:00:00,1.08572,1.0859,1.08522,1.08556,11561.740234375
2024-04-09 16:00:00,1.08555,1.086,1.08536,1.08544,6018.10986328125
2024-04-09 17:00:00,1.08545,1.08554,1.0851,1.08515,5442.2001953125
2024-04-09 18:00:00,1.08513,1.08547,1.085,1.08529,3187.18994140625
2024-04-09 19:00:00,1.08529,1.08573,1.08477,1.08566,6502.490234375
2024-04-09 20:00:00,1.08565,1.08591,1.08555,1.08569,3778.080078125
2024-04-09 21:00:00,1.08562,1.08593,1.08554,1.08575,7097.2001953125
2024-04-09 22:00:00,1.08577,1.08587,1.08562,1.08586,917.47998046875
2024-04-09 23:00:00,1.08585,1.08597,1.08576,1.08588,1649.800048828125
2024-04-10 00:00:00,1.08587,1.08588,1.08551,1.08571,4143.2998046875
2024-04-10 01:00:00,1.08574,1.08588,1.08513,1.08545,5673.9501953125
2024-04-10 02:00:00,1.08541,1.08555,1.08509,1.08534,4651.64013671875
2024-04-10 03:00:00,1.08534,1.08544,1.0852,1.08529,3994.239990234375
2024-04-10 04:00:00,1.0853,1.08535,1.08504,1.08525,3575.030029296875
2024-04-10 05:00:00,1.08523,1.08556,1.08513,1.08517,4380.1201171875
2024-04-10 06:00:00,1.08517,1.08548,1.08477,1.08531,7669.68994140625
2024-04-10 07:00:00,1.08532,1.0857,1.08508,1.08553,7480.919921875
2024-04-10 08:00:00,1.08552,1.08605,1.08513,1.08603,7801.0498046875
2024-04-10 09:00:00,1.08604,1.08655,1.08567,1.08615,7535.9599609375
2024-04-10 10:00:00,1.08615,1.08658,1.08603,1.08644,5590.509765625
2024-04-10 11:00:00,1.08643,1.08665,1.08549,1.08556,5059.1201171875
2024-04-10 12:00:00,1.08555,1.08646,1.07783,1.07807,40199.48046875
2024-04-10 13:00:00,1.07808,1.07811,1.07493,1.0751,48457.62890625
2024-04-10 14:00:00,1.0751,1.07669,1.07456,1.07532,25988.439453125
2024-04-10 15:00:00,1.07533,1.07547,1.07334,1.07366,18368.44921875
2024-04-10 16:00:00,1.07367,1.07374,1.07288,1.0736,9273.66015625
2024-04-10 17:00:00,1.07361,1.07542,1.0729,1.07504,22718.30078125
2024-04-10 18:00:00,1.07504,1.07542,1.07351,1.07363,13194.0703125
2024-04-10 19:00:00,1.07362,1.07455,1.07357,1.07438,9389.73046875
2024-04-10 20:00:00,1.07436,1.07456,1.07413,1.07421,2453.7900390625
2024-04-10 21:00:00,1.07421,1.07446,1.07407,1.07429,3816.699951171875
2024-04-10 22:00:00,1.07432,1.07441,1.074,1.07431,1167.6500244140625
2024-04-10 23:00:00,1.0743,1.07447,1.07392,1.0741,2322.60009765625
2024-04-11 00:00:00,1.07411,1.07458,1.07383,1.07426,5127.35986328125
2024-04-11 01:00:00,1.07426,1.07469,1.07411,1.0746,5256.169921875
2024-04-11 02:00:00,1.07459,1.07469,1.07443,1.07454,3950.22998046875
