date,open,high,low,close,volume,vwap,transactions,BID_open,BID_high,BID_low,BID_close,BID_volume_millions,ASK_open,ASK_high,ASK_low,ASK_close,ASK_volume_millions
2025-01-13 23:00:00,157.322,157.452,157.11,157.307,4616.0,157.2812,4616,157.272,157.454,157.118,157.305,14015.01953125,157.334,157.465,157.123,157.322,11813.0595703125
2025-01-14 00:00:00,157.304,157.577,157.146,157.535,7300.0,157.4166,7300,157.309,157.576,157.142,157.537,28583.369140625,157.318,157.585,157.15,157.546,22640.509765625
2025-01-14 01:00:00,157.535,158.019,157.038,157.426,8228.0,157.615,8228,157.537,158.027,157.032,157.435,35200.08984375,157.545,158.036,157.077,157.445,29812.830078125
2025-01-14 02:00:00,157.431,157.728,157.431,157.69,5054.0,157.5758,5054,157.435,157.73,157.435,157.69,19994.0703125,157.447,157.738,157.447,157.699,16883.76953125
2025-01-14 03:00:00,157.684,157.747,157.52,157.557,4376.0,157.6271,4376,157.69,157.751,157.525,157.555,13083.6796875,157.698,157.757,157.532,157.565,10925.08984375
2025-01-14 04:00:00,157.556,157.585,157.46,157.487,3612.0,157.5219,3612,157.555,157.581,157.462,157.484,6797.10009765625,157.565,157.592,157.467,157.49,6295.52001953125
2025-01-14 05:00:00,157.486,157.72,157.343,157.578,5219.0,157.5489,5219,157.485,157.718,157.36,157.58,18969.279296875,157.49,157.729,157.369,157.587,17326.2890625
2025-01-14 06:00:00,157.58,157.695,157.45,157.479,4656.0,157.6001,4656,157.58,157.695,157.456,157.481,15554.3798828125,157.583,157.703,157.464,157.487,10376.6396484375
2025-01-14 07:00:00,157.478,157.555,157.29,157.522,7389.0,157.4079,7389,157.48,157.551,157.295,157.524,30695.419921875,157.488,157.558,157.302,157.531,27582.33984375
2025-01-14 08:00:00,157.522,157.729,157.38,157.693,7592.0,157.5083,7592,157.524,157.73,157.388,157.694,32585.109375,157.53,157.737,157.396,157.704,27086.619140625
2025-01-14 09:00:00,157.699,158.027,157.678,157.936,7568.0,157.8789,7568,157.697,158.028,157.679,157.937,35114.4609375,157.702,158.033,157.69,157.943,26457.630859375
2025-01-14 10:00:00,157.937,157.982,157.82,157.829,5041.0,157.915,5041,157.937,157.982,157.829,157.83,18794.75,157.945,157.986,157.835,157.836,16346.6103515625
2025-01-14 11:00:00,157.83,157.954,157.83,157.935,4195.0,157.8986,4195,157.831,157.954,157.831,157.937,14650.0,157.837,157.96,157.837,157.945,9823.1298828125
2025-01-14 12:00:00,157.939,158.15,157.83,157.86,6154.0,157.9704,6154,157.938,158.13,157.84,157.859,26865.01953125,157.945,158.135,157.846,157.868,25542.720703125
2025-01-14 13:00:00,157.857,157.923,157.384,157.775,10140.0,157.7136,10140,157.859,157.923,157.384,157.774,44281.83984375,157.866,157.93,157.416,157.777,43435.71875
2025-01-14 14:00:00,157.774,157.914,157.62,157.81,10284.0,157.7785,10284,157.776,157.916,157.619,157.803,46271.75,157.779,157.923,157.626,157.813,38936.78125
2025-01-14 15:00:00,157.809,158.15,157.74,157.962,10091.0,157.9731,10091,157.806,158.151,157.745,157.962,42849.83984375,157.812,158.157,157.751,157.97,36566.03125
2025-01-14 16:00:00,157.966,158.073,157.827,157.951,8990.0,157.9552,8990,157.965,158.075,157.831,157.952,37167.41015625,157.969,158.084,157.837,157.957,29580.130859375
2025-01-14 17:00:00,157.948,158.21,157.9,158.129,5805.0,158.0918,5805,157.952,158.195,157.904,158.13,22156.41015625,157.958,158.2,157.911,158.136,20293.58984375
2025-01-14 18:00:00,158.129,158.137,157.975,158.002,3878.0,158.0423,3878,158.131,158.139,157.977,158.005,13339.650390625,158.137,158.144,157.983,158.012,12453.919921875
2025-01-14 19:00:00,158.006,158.071,157.901,157.939,3770.0,157.9926,3770,158.006,158.072,157.907,157.939,13952.650390625,158.013,158.079,157.913,157.945,12931.4697265625
2025-01-14 20:00:00,157.938,157.984,157.867,157.98,3701.0,157.9259,3701,157.939,157.985,157.868,157.981,12388.41015625,157.944,157.991,157.874,157.987,11327.009765625
2025-01-14 21:00:00,157.979,158.02,157.914,157.929,2984.0,157.9709,2984,157.981,158.019,157.914,157.914,6662.64013671875,157.984,158.027,157.932,157.989,6513.4501953125
2025-01-14 22:00:00,157.929,158.05,157.866,157.946,773.0,157.975,773,157.9,157.979,157.881,157.921,1167.1199951171875,157.989,158.132,157.966,157.984,1451.1300048828125
2025-01-14 23:00:00,157.934,158.065,157.9,158.047,2460.0,157.9899,2460,157.921,158.066,157.905,158.045,4291.22998046875,157.984,158.076,157.921,158.054,4170.35986328125
2025-01-15 00:00:00,158.046,158.082,157.894,157.97,5852.0,157.9804,5852,158.053,158.082,157.894,157.973,19984.58984375,158.054,158.09,157.905,157.979,15109.8701171875
2025-01-15 01:00:00,157.983,158.037,157.82,157.9,5442.0,157.9197,5442,157.975,158.034,157.826,157.899,16077.4697265625,157.982,158.042,157.834,157.906,13097.599609375
2025-01-15 02:00:00,157.897,157.975,157.87,157.946,4500.0,157.9211,4500,157.898,157.973,157.877,157.943,11712.5,157.905,157.979,157.883,157.952,7136.52001953125
2025-01-15 03:00:00,157.943,157.951,157.837,157.882,3874.0,157.8947,3874,157.945,157.953,157.84,157.886,11905.8203125,157.952,157.959,157.849,157.894,7478.56982421875
2025-01-15 04:00:00,157.885,157.934,157.58,157.608,4890.0,157.754,4890,157.886,157.933,157.585,157.603,18045.26953125,157.892,157.943,157.594,157.612,15907.2998046875
2025-01-15 05:00:00,157.606,157.62,157.192,157.316,6668.0,157.3579,6668,157.601,157.601,157.194,157.317,22585.330078125,157.611,157.611,157.201,157.325,22880.0
2025-01-15 06:00:00,157.317,157.442,157.278,157.343,5024.0,157.3572,5024,157.317,157.441,157.282,157.341,15891.900390625,157.326,157.453,157.29,157.351,14785.0302734375
2025-01-15 07:00:00,157.338,157.343,156.836,156.88,7403.0,157.1286,7403,157.342,157.343,156.84,156.882,28065.0703125,157.35,157.35,156.846,156.888,25988.349609375
2025-01-15 08:00:00,156.881,157.208,156.71,157.107,7684.0,156.9501,7684,156.882,157.208,156.718,157.11,31520.259765625,156.887,157.218,156.728,157.118,30209.83984375
2025-01-15 09:00:00,157.105,157.123,156.707,156.862,7095.0,156.8605,7095,157.11,157.125,156.708,156.864,29770.05078125,157.116,157.132,156.714,156.87,29590.400390625
2025-01-15 10:00:00,156.866,156.925,156.739,156.789,5772.0,156.8387,5772,156.866,156.924,156.747,156.789,24089.0390625,156.87,156.931,156.756,156.797,21826.05078125
2025-01-15 11:00:00,156.788,157.059,156.7,157.01,5032.0,156.8889,5032,156.789,157.057,156.715,157.011,19994.009765625,156.796,157.065,156.722,157.018,19256.16015625
2025-01-15 12:00:00,157.012,157.052,156.853,156.975,5303.0,156.9464,5303,157.012,157.051,156.855,156.977,19189.0703125,157.018,157.058,156.864,156.984,16617.51953125
2025-01-15 13:00:00,156.977,157.089,156.24,156.395,11247.0,156.5829,11247,156.977,157.086,156.25,156.395,48855.7890625,156.986,157.094,156.256,156.401,46722.5390625
2025-01-15 14:00:00,156.391,156.46,155.933,156.28,12881.0,156.2396,12881,156.398,156.46,155.935,156.282,58620.421875,156.404,156.465,155.943,156.288,48205.66015625
2025-01-15 15:00:00,156.282,156.525,156.073,156.292,11446.0,156.3236,11446,156.281,156.525,156.076,156.289,42521.7109375,156.289,156.531,156.082,156.296,35902.1015625
2025-01-15 16:00:00,156.289,156.732,156.281,156.598,9604.0,156.5816,9604,156.29,156.732,156.285,156.599,35061.6484375,156.295,156.74,156.289,156.606,30788.859375
2025-01-15 17:00:00,156.597,156.606,156.474,156.549,6025.0,156.538,6025,156.599,156.607,156.48,156.55,20439.16015625,156.605,156.613,156.485,156.556,16932.69921875
2025-01-15 18:00:00,156.549,156.573,156.398,156.491,4935.0,156.5027,4935,156.549,156.572,156.401,156.495,16216.150390625,156.556,156.58,156.412,156.504,13089.6298828125
2025-01-15 19:00:00,156.492,156.565,156.428,156.462,4353.0,156.5029,4353,156.496,156.563,156.432,156.461,14143.2001953125,156.504,156.571,156.439,156.467,12094.509765625
2025-01-15 20:00:00,156.461,156.506,156.404,156.458,4012.0,156.4569,4012,156.462,156.507,156.405,156.441,11628.1904296875,156.467,156.512,156.413,156.444,10840.740234375
2025-01-15 21:00:00,156.441,156.549,156.437,156.452,2836.0,156.4986,2836,156.441,156.551,156.431,156.435,5919.7998046875,156.445,156.557,156.444,156.493,6294.39013671875
2025-01-15 22:00:00,156.454,156.52,156.235,156.334,794.0,156.3728,794,156.421,156.438,156.308,156.348,1739.7900390625,156.493,156.503,156.377,156.415,1709.93994140625
2025-01-15 23:00:00,156.369,156.401,156.209,156.216,2580.0,156.3148,2580,156.348,156.405,156.215,156.219,6153.509765625,156.41,156.421,156.224,156.227,4325.43017578125
2025-01-16 00:00:00,156.216,156.525,156.16,156.183,6107.0,156.3422,6107,156.218,156.528,156.167,156.185,19237.720703125,156.227,156.533,156.173,156.193,17119.169921875
2025-01-16 01:00:00,156.184,156.184,155.478,155.551,8576.0,155.8209,8576,156.184,156.184,155.479,155.55,41090.578125,156.196,156.196,155.486,155.561,36295.5
2025-01-16 02:00:00,155.548,155.776,155.205,155.728,8538.0,155.6061,8538,155.549,155.774,155.206,155.729,34801.0390625,155.561,155.783,155.216,155.737,28059.150390625
2025-01-16 03:00:00,155.725,155.86,155.699,155.771,5867.0,155.7737,5867,155.727,155.855,155.705,155.774,21685.970703125,155.733,155.869,155.713,155.782,18435.599609375
2025-01-16 04:00:00,155.772,155.97,155.598,155.95,4455.0,155.8051,4455,155.775,155.969,155.603,155.951,16275.0703125,155.783,155.975,155.611,155.959,14672.5
2025-01-16 05:00:00,155.953,156.115,155.939,156.112,4912.0,156.0375,4912,155.951,156.117,155.944,156.113,17509.369140625,155.958,156.126,155.953,156.119,15670.5595703125
2025-01-16 06:00:00,156.112,156.313,156.024,156.093,5529.0,156.1629,5529,156.112,156.31,156.03,156.096,22031.080078125,156.119,156.318,156.038,156.106,14825.580078125
2025-01-16 07:00:00,156.091,156.236,156.02,156.182,6350.0,156.1132,6350,156.097,156.24,156.024,156.184,20295.279296875,156.106,156.245,156.032,156.191,17384.349609375
2025-01-16 08:00:00,156.184,156.234,155.857,155.893,7329.0,156.0053,7329,156.183,156.233,155.857,155.895,18055.9296875,156.193,156.241,155.866,155.902,16225.099609375
2025-01-16 09:00:00,155.895,155.933,155.609,155.679,6317.0,155.8087,6317,155.896,155.932,155.609,155.68,15189.419921875,155.902,155.938,155.618,155.689,12420.2998046875
2025-01-16 10:00:00,155.681,155.768,155.62,155.665,5413.0,155.6947,5413,155.681,155.765,155.63,155.663,10076.6103515625,155.688,155.774,155.637,155.669,10240.669921875
2025-01-16 11:00:00,155.66,155.875,155.64,155.781,4981.0,155.7732,4981,155.662,155.873,155.646,155.781,11771.8203125,155.669,155.881,155.652,155.789,7919.27001953125
2025-01-16 12:00:00,155.781,156.196,155.781,156.107,6067.0,156.0427,6067,155.782,156.199,155.78,156.106,11789.6796875,155.79,156.203,155.782,156.115,10053.1298828125
2025-01-16 13:00:00,156.102,156.361,155.83,155.905,9882.0,156.1013,9882,156.107,156.362,155.844,155.902,36654.58984375,156.11,156.372,155.852,155.912,31854.279296875
2025-01-16 14:00:00,155.911,156.174,155.895,156.126,10301.0,156.0364,10301,155.909,156.175,155.896,156.127,42552.69921875,155.914,156.179,155.902,156.133,35836.48828125
2025-01-16 15:00:00,156.126,156.194,155.387,155.424,12675.0,155.6544,12675,156.126,156.194,155.387,155.425,53442.73828125,156.132,156.2,155.394,155.43,48511.87890625
2025-01-16 16:00:00,155.422,155.552,155.097,155.438,11097.0,155.3061,11097,155.423,155.551,155.1,155.438,48733.55859375,155.429,155.557,155.106,155.446,45640.2890625
2025-01-16 17:00:00,155.434,155.511,155.16,155.262,7730.0,155.3337,7730,155.437,155.509,155.171,155.266,34020.66015625,155.445,155.515,155.179,155.275,27675.5703125
2025-01-16 18:00:00,155.262,155.385,155.142,155.351,4905.0,155.2831,4905,155.266,155.384,155.146,155.35,18599.76953125,155.276,155.391,155.154,155.359,16629.5
2025-01-16 19:00:00,155.349,155.373,155.16,155.29,4386.0,155.2515,4386,155.351,155.374,155.166,155.291,13507.650390625,155.359,155.382,155.176,155.297,12319.8603515625
2025-01-16 20:00:00,155.292,155.312,155.167,155.201,3545.0,155.2287,3545,155.291,155.315,155.169,155.202,12830.58984375,155.299,155.323,155.177,155.211,14089.419921875
2025-01-16 21:00:00,155.2,155.23,155.09,155.196,2562.0,155.1653,2562,155.202,155.234,155.096,155.1,4583.7900390625,155.208,155.241,155.107,155.239,6198.25
2025-01-16 22:00:00,155.211,155.28,155.058,155.178,703.0,155.1706,703,155.125,155.2,155.086,155.158,1010.8200073242188,155.252,155.417,155.14,155.2,1036.5899658203125
