date,open,high,low,close,volume,vwap,transactions
2025-09-29 10:00:00,148.6,148.682,148.566,148.667,10521.0,148.6317,10521
2025-09-29 11:00:00,148.669,148.795,148.61,148.624,11529.0,148.7119,11529
2025-09-29 12:00:00,148.628,148.815,148.572,148.598,15719.0,148.6947,15719
2025-09-29 13:00:00,148.605,148.737,148.476,148.582,16826.0,148.6309,16826
2025-09-29 14:00:00,148.592,148.653,148.525,148.649,16161.0,148.5744,16161
2025-09-29 15:00:00,148.647,148.652,148.495,148.568,14528.0,148.5721,14528
2025-09-29 16:00:00,148.569,148.615,148.553,148.582,9849.0,148.5822,9849
2025-09-29 17:00:00,148.582,148.645,148.545,148.583,10583.0,148.5917,10583
2025-09-29 18:00:00,148.58,148.642,148.54,148.639,9786.0,148.5862,9786
2025-09-29 19:00:00,148.635,148.677,148.552,148.627,9001.0,148.6103,9001
2025-09-29 20:00:00,148.623,148.692,148.569,148.597,5118.0,148.6428,5118
2025-09-29 21:00:00,148.597,148.685,148.484,148.587,619.0,148.6001,619
2025-09-29 22:00:00,148.587,148.646,148.576,148.588,2175.0,148.6062,2175
2025-09-29 23:00:00,148.595,148.63,148.495,148.613,3655.0,148.5563,3655
2025-09-30 00:00:00,148.614,148.841,148.546,148.791,8024.0,148.6553,8024
2025-09-30 01:00:00,148.787,148.787,148.599,148.747,13269.0,148.6853,13269
2025-09-30 02:00:00,148.749,148.802,148.623,148.717,9973.0,148.6924,9973
2025-09-30 03:00:00,148.711,148.72,148.508,148.517,9001.0,148.6263,9001
2025-09-30 04:00:00,148.514,148.587,148.383,148.404,10442.0,148.5019,10442
2025-09-30 05:00:00,148.403,148.444,148.22,148.284,12935.0,148.3142,12935
2025-09-30 06:00:00,148.281,148.35,148.04,148.073,14482.0,148.1859,14482
2025-09-30 07:00:00,148.072,148.175,147.935,148.05,14847.0,148.0372,14847
2025-09-30 08:00:00,148.045,148.093,147.83,147.851,15980.0,147.9081,15980
2025-09-30 09:00:00,147.85,147.984,147.82,147.972,13893.0,147.9008,13893
2025-09-30 10:00:00,147.965,148.035,147.895,148.02,10911.0,147.966,10911
2025-09-30 11:00:00,148.026,148.093,147.96,147.97,10532.0,148.0302,10532
2025-09-30 12:00:00,147.968,148.025,147.89,147.951,15549.0,147.9667,15549
2025-09-30 13:00:00,147.955,148.061,147.803,147.877,16187.0,147.9454,16187
2025-09-30 14:00:00,147.89,147.997,147.649,147.681,20510.0,147.798,20510
2025-09-30 15:00:00,147.683,148.017,147.657,147.968,17659.0,147.903,17659
2025-09-30 16:00:00,147.964,147.967,147.69,147.743,10444.0,147.8311,10444
2025-09-30 17:00:00,147.736,147.847,147.645,147.781,12383.0,147.7437,12383
2025-09-30 18:00:00,147.778,147.882,147.764,147.863,12173.0,147.8244,12173
2025-09-30 19:00:00,147.861,147.922,147.823,147.863,12202.0,147.8614,12202
2025-09-30 20:00:00,147.865,147.972,147.854,147.931,6626.0,147.9256,6626
2025-09-30 21:00:00,147.931,147.931,147.665,147.826,488.0,147.8474,488
2025-09-30 22:00:00,147.86,147.923,147.8,147.902,1834.0,147.883,1834
2025-09-30 23:00:00,147.9,148.025,147.801,148.022,4047.0,147.9001,4047
2025-10-01 00:00:00,148.016,148.223,148.015,148.101,7663.0,148.1022,7663
2025-10-01 01:00:00,148.101,148.167,147.935,147.955,10621.0,148.0357,10621
2025-10-01 02:00:00,147.942,148.009,147.88,147.915,9267.0,147.9452,9267
2025-10-01 03:00:00,147.909,148.0,147.863,147.924,7717.0,147.9335,7717
2025-10-01 04:00:00,147.921,147.955,147.54,147.551,10204.0,147.8025,10204
2025-10-01 05:00:00,147.55,147.641,147.45,147.526,12450.0,147.5316,12450
2025-10-01 06:00:00,147.511,147.515,147.162,147.23,15089.0,147.3178,15089
2025-10-01 07:00:00,147.226,147.32,147.015,147.122,17350.0,147.1466,17350
2025-10-01 08:00:00,147.123,147.155,146.892,147.149,15763.0,147.0465,15763
2025-10-01 09:00:00,147.148,147.224,147.06,147.208,14383.0,147.1327,14383
2025-10-01 10:00:00,147.203,147.261,147.051,147.073,13526.0,147.1565,13526
2025-10-01 11:00:00,147.074,147.107,146.992,146.997,12745.0,147.0478,12745
